cilea.jlis;JLIS.it, Italian Journal of Library, Archives, and Information Science
fupress.adf;Annali del Dipartimento di Filosofia
fupress.ah;Acta Herpetologica
fupress.ahs;Advances in Horticultural Science
fupress.aisthesis;Aisthesis. Pratiche, linguaggi e saperi dell’estetico
fupress.asf;Annali di Storia di Firenze
fupress.bae;BAE Bio-based and Applied Economics
fupress.bsfm-jems;Journal of Early Modern Studies
fupress.bsfm-lea;LEA - Lingue e Letterature d'Oriente e d'Occidente
fupress.bsfm-qulso;Quaderni di Linguistica e Studi Orientali
fupress.bsfm-sijis;Studi irlandesi. A Journal of Irish Studies
fupress.cambio;Cambio. Rivista sulle Trasformazioni Sociali
fupress.ccselap;Comparative Cultural Studies - European and Latin American Perspectives
fupress.cdg;Il Colle di Galileo
fupress.ceset;Aestimum Centro Studi di Estimo e di Economia Territoriale - C.e.S.E.T.
fupress.cromohs;Cromohs - Cyber Review of Modern Historiography
fupress.drammaturgia;Drammaturgia
fupress.ds;Diciottesimo Secolo. Rivista della Società Italiana di Studi sul Secolo XVIII
fupress.eda;Economia e Diritto Agroalimentare
fupress.fa;Firenze Architettura
fupress.formare;Form@re - Open Journal per la formazione in rete
fupress.ijae;Italian Journal of Anatomy and Embryology
fupress.iris;IRIS
fupress.mac;Macramè
fupress.mes;Medicina & Storia
fupress.mt;Musica/Tecnologia
fupress.oi;Opus Incertum
fupress.pam;Phenomenology and Mind
fupress.pm;Phytopathologia Mediterranea
fupress.prometheus;Prometheus. Rivista di studi classici
fupress.ra;Restauro Archeologico
fupress.rea;Italian Review of Agricultural Economics
fupress.ri-vista;Ri-Vista
fupress.rief;Rivista Italiana di Educazione Familiare
fupress.rsf;Rivista di studi di fotografia. Journal of Studies in Photography
fupress.rss;RiSS Rivista di Studi Sudasiatici
fupress.scrineum;Scrineum Rivista
fupress.sdd;Storia delle Donne
fupress.SdT;Scienze del Territorio
fupress.sf;Studi sulla Formazione/Open Journal of Education
fupress.smp;SocietàMutamentoPolitica
fupress.ss;Studi Slavistici
fupress.techne;TECHNE - Journal of Technology for Architecture and Environment
fupress.tutor;TUTOR. An international, peer reviewed, openaccess journal on Medical Education and Practice
rifp.rifp;Rivista internazionale di Filosofia e Psicologia
unibo.almatourism;Almatourism - Journal of Tourism, Culture and Territorial Development
unibo.annalisismondi;Annali Sismondi / Annales Sismondi / Sismondi Annals
unibo.antropologiaeteatro;Antropologia e Teatro. Rivista di Studi
unibo.bibliothecae;bibliothecae
unibo.bolognalawreview;UNIVERSITY OF BOLOGNA LAW REVIEW
unibo.cinergie;CINERGIE Il Cinema e le altre Arti
unibo.confluenze;Confluenze Rivista di Studi Iberoamericani
unibo.conservationscience;Conservation Science in Cultural Heritage
unibo.cpcl;The European Journal of Creative Practices in Cities and Landscapes (CPCL) 
unibo.danzaericerca;danza e ricerca Laboratorio di studi, scritture, visioni
unibo.disegnarecon;DisegnareCon
unibo.ecnp;EnCP Encyclopaideia Journal of phenomenology and education
unibo.eqa;EQA International  Journal of Environmental Quality
unibo.figure;Figure Rivista della Scuola di specializzazione in Beni Storici-Artistici dell'Università di Bologna
unibo.governarelapaura;Governare la Paura
unibo.hpa;Histories of Postwar Architecture
unibo.in_bo;in_bo ricerche e progettiper il territorio, la città e l'architettura
unibo.intreccidarte;INTRECCI d'arte
unibo.ipotesidipreistoria;IpoTESI di Preistoria
unibo.italianmicology;Italian Journal of Mycology
unibo.jfr;Journal of Formalized Reasoning
unibo.labourlaw;Labour & Law Issues
unibo.maes;I quaderni del m.ae.s.
unibo.mathematicalanalysis;Bruno Pini Mathematical Analysis Seminar
unibo.montesquieu;Montesquieu.it
unibo.musicadocta;Musica Docta Rivista Digitale di Pedagogia e Didattica della Musica
unibo.pianob;piano b. Arti e culture visive
unibo.psicoart;Rivista di Arte e Psicologia
unibo.puenteeuropa;Puente@Europa
unibo.rpd;Ricerche di Pedagogia e Didattica
unibo.scienzaepolitica;Scienza & Politica per una storia delle dottrine
unibo.series;Series International Journal of TV Serial Narrative
unibo.ste;Studi Tributari Europei – European Tax Studies is the review of the European School of Advanced Tax Studies of the University of Bologna.
unibo.umanisticadigitale;Umanistica Digitale
unibo.usabroad;USAbroad Journal of American History and Politics
unibo.zmj;ZoneModa Journal (ZMJ)
unimi.acme;ACME - Annali della Facoltà di Studi Umanistici dell'Università degli Studi di Milano
unimi.amonline;Altre Modernità
unimi.aristonothos;Aristonothos. Scritti per il Mediterraneo antico
unimi.asgm;ATTI DEL SODALIZIO GLOTTOLOGICO MILANESE
unimi.BEO;Bisanzio e l'Occidente
